wiski_station_no,name,drainage_division,longitude,latitude,name_long,kiwisid,name2,system,river,catchment_area[km2],lake_area[km2],capacity[ML],dead_capacity[ML],accessible_capacity[ML],full_supply_level[AHD],min_supply_level[AHD],year_of_completion,STATE_PROPORTION
w00013-BW750A,West Barwon Reservoir,South East Coast (Victoria),143.723,-38.533,"West Barwon Reservoir, is located in  Victoria and in the  South-East Coast  drainage division. Located in the Otway Ranges, West Barwon Reservoir has the highest embankment of all of Geelong's water supply storages. It is one of two storages in the Barwon River system, supplying water to Geelong via a channel connected to Wurdee Boluc Reservoir.",BW750A,West Barwon Reservoir,VIC Barwon,Barwon River East Branch,,,22064.351,560,21504.351,192.81,170.85,1965,Victoria
w00013-BW851,West Gellibrand Reservoir,South East Coast (Victoria),143.654,-38.6,"West Gellibrand Reservoir is located in  Victoria and in the  South-East Coast  drainage division. It is the largest of the four storages that supply Colac. Located in the Otway Ranges, this reservoir spills for most of the year.",BW851,West Gellibrand Reservoir,Otway Coast,Gellibrand River,,,1856.43,0,1856.43,342.02,325.72,1972,Victoria
w00028-1392,Lake Morris,North East Coast,145.681,-16.99,"Lake Morris, also known as Copperlode Falls Dam is located in  Queensland  and in the  North East Coast  drainage division. Lake Morris is Cairns Regional Council's only major storage. It provides water to Cairns City and the northern beaches area. It was officially named Lake Morris in honour of the Cairns City engineer, Mr. E.R. Morris who discovered the dam site in 1935.",1392,Lake Morris,Barron,Freshwater Creek,44,0.13,37100.621,577.093,36523.528,397.732,372.14,1976,Queensland
w00032-232217A,Moorabool,South East Coast (Victoria),144.085,-37.516,"Moorabool is located in  Victoria  and in the South-East Coast  drainage division. Moorabool reservoir is the third largest storage in the Ballarat and District water supply system. A pipeline from the reservoir delivers water into the channel system, which conveys flow to Pincotts reservoir and onwards to White Swan, Gong Gong and Kirks reservoirs. Over-flow from the Moorabool reservoir flows into the West Moorabool River which flows downstream into the Lal Lal reservoir.",232217A,Moorabool,Moorabool,West Moorabool River,30.26,0.151,6702.307,11.477,6690.83,604.733,594.366,1915,Victoria
w00032-232220A,Wilsons,South East Coast (Victoria),144.02,-37.512,"Wilsons is located in  Victoria  and in the  South-East Coast  drainage division. Wilsons reservoir is one of the seven storages that provide water supply for the Ballarat and District water supply system. Water from Wilsons reservoir is released to Lal Lal Creek, which then runs into Beales reservoir. This water is further transported by aquaduct to Pincotts reservoir and from there, via a network of channels and pipelines, for storage in White Swan, Kirks or Gong Gong reservoirs.",232220A,Wilsons,Moorabool,Lal Lal Creek,8,0.036,1013.816,2.66,1011.156,606.67,600.59,1891,Victoria
w00032-232222A,Lal Lal,South East Coast (Victoria),144.06,-37.658,"Lal Lal, also known as Bungal Dam, is located in Victoria  and in the  South-East Coast  drainage division. Lal Lal reservoir is the largest storage in the Ballarat and District water supply system. Water from the reservoir is shared between Ballarat, Geelong and the environment. The storage is fed by the West Moorabool River catchment, including water that spills from the Moorabool reservoir.",232222A,Lal Lal,Moorabool,West Moorabool River,230,0.356,59548.6,493,59055.6,412.39,378.1,1972,Victoria
w00032-233232A,White Swan,South East Coast (Victoria),143.92,-37.513,"White Swan is located in  Victoria  and in the South-East Coast  drainage division. White Swan reservoir is the second largest storage in the Ballarat and District water supply system. It is essentially an off-stream storage, with a very small local catchment. Most of its inflow is transferred via the Ballarat Channel system from the Upper West Moorabool catchment. Water is also diverted from Clarkes Creek.",233232A,White Swan,VIC Barwon,Off-stream,,0.128,14146.457,266.32,13880.137,536.58,509.48,1952,Victoria
w00032-233272A,Gong Gong,South East Coast (Victoria),143.935,-37.545,Gong Gong is located in  Victoria  and in the South-East Coast  drainage division. Gong Gong reservoir is one of the oldest storages in the Ballarat and District water supply system. It receives water from the Upper Yarrowee catchment and diversions from the Upper West Moorabool catchment via the Ballarat Channel system and Pincotts reservoir.,233272A,Gong Gong,Thomson/Macalister,Fellmeongers Creek,,0.025,1888.186,0,1888.186,514.32,495.52,1877,Victoria
w00032-407333A,Evansford,Murray Darling Basin,143.655,-37.278,"Evansford is located in Victoria and in the Murray-Darling drainage division. Evansford reservoir is one of the oldest storages in the Central Highlands Water network and is part of the drinking water supply system for Maryborough town and district, along with Talbot and Tullaroop reservoirs. Water from Evansford reservoir is piped by gravity 23.4 km to Centenary reservoir, just outside Maryborough, prior to treatment and supply.",407333A,Evansford,Loddon (SS8),McCallum Cree,77,0.023,1350.04,47.125,1302.915,341.961,332.021,1885,Victoria
w00045-BARKERSCREEK,Barkers Creek,Murray Darling Basin,144.278,-36.966,Barkers Creek is located in  Victoria  and in the Murray-Darling  drainage division. Barkers Creek reservoir stores water for irrigation. It is also used extensively for fishing.,BARKERSCREEK,Barkers Creek,Loddon (SS8),Barkers Creek,13,0.043,2730,17,2713,366.56,355.6,1869,Victoria
w00045-LAURISTON,Lauriston,Murray Darling Basin,144.383,-37.257,"Lauriston is located in  Victoria  and in the Murray-Darling  drainage division. Lauriston reservoir supplies drinking water for the township of Kyneton and also supplements the city of Bendigo via Malmsbury reservoir. It was built in 1941 and was completed in record time. It used a ''new'' technique of stressed concrete poured on site. This was the same technique used to build the Hoover Dam, completed less than 10 years earlier.",LAURISTON,Lauriston,Campaspe (SS7),Coliban river,209,0.208,19790,1,19789,479.5,457.4,1941,Victoria
w00045-MALMSBURY,Malmsbury,Murray Darling Basin,144.369,-37.209,Malmsbury is located in  Victoria  and in the Murray-Darling  drainage division. Malmsbury reservoir supplies drinking water for the township of Castlemaine and the city of Bendigo. The heritage listed Malmsbury Dam is among the 10 oldest dams in Australia. Before it was even completed large faults appeared in the embankment's construction. This led to calls for several high-level inquires. By 1874 it had been sufficiently repaired to allow water to flow to Castlemaine for the first time.,MALMSBURY,Malmsbury,Campaspe (SS7),Coliban river,285,0.225,17225.072,0,17225.072,449.9,434.65,1874,Victoria
w00045-MCCAY,McCay,Murray Darling Basin,144.301,-37.091,McCay is located in  Victoria  and in the  Murray-Darling  drainage division. McCay reservoir supplies drinking water for the township of Castlemaine.,MCCAY,McCay,Loddon (SS8),Off-stream,1.7,0.02,1373,8.2,1364.8,408.34,392,1960,Victoria
w00045-SANDHURST,Sandhurst,Murray Darling Basin,144.245,-36.846,Sandhurst is located in  Victoria  and in the Murray-Darling  drainage division. Sandhurst reservoir supplies drinking water for the township of Castlemaine and the city of Bendigo. Its supply is supplemented by a pipeline from Lake Eppalock.,SANDHURST,Sandhurst,Loddon (SS8),Off-stream,1.02,0.028,2595,190.03,2404.97,336,322.469,1984,Victoria
w00045-SPRINGGULLY,Spring Gully,Murray Darling Basin,144.278,-36.805,"Spring Gully is located in  Victoria  and in the Murray-Darling  drainage division. Spring Gully reservoir supplies recycled water for public gardens, recreation reserves and irrigation in the Bendigo area. Water is supplied by a pipeline from the Bendigo Water Reclamation Plant (WRP) in Epsom where reclaimed water from Bendigo's sewerage system is reused. Spring Gully is the oldest dam in the Bendigo region, and one of the 10 oldest dams in Australia.",SPRINGGULLY,Spring Gully,Loddon (SS8),Off-stream,2.78,0.034,2470,4,2466,273.3,260.6,1868,Victoria
w00045-UPPERCOLIBAN,Upper Coliban,Murray Darling Basin,144.403,-37.289,"Upper Coliban is located in  Victoria  and in the Murray-Darling  drainage division. Upper Coliban reservoir supplies drinking water for the township of Kyneton, and also supplements the city of Bendigo via Malmsbury reservoir. The Upper Coliban reservoir is noted for the inclusion of ''Monier Arch'' bridges, designed by Sir John Monash.",UPPERCOLIBAN,Upper Coliban,Campaspe (SS7),Coliban river,180,0.398,37769.891,78.229,37691.662,505.56,483.5,1903,Victoria
w00077-203042,Toonumbar,South East Coast (NSW),152.773,-28.605,Toonumbar is located in  New South Wales  and in the  South-East Coast  drainage division. Thirteen sites were investigated before the site on Iron Pot Creek was selected.,203042,Toonumbar,North Coast,,,,11048.902,234.685,10814.217,129.626,106.76,,New South Wales
w00077-210097,Glenbawn,South East Coast (NSW),151.018,-32.048,Glenbawn is located in  New South Wales  and in the  South-East Coast  drainage division. The original Glenbawn Dam was completed in 1958 and was enlarged to treble the capacity of the reservoir in 1987.,210097,Glenbawn,Hunter,,,,749827.322,1000.535,748826.787,276.25,201.03,,New South Wales
w00077-210102,Lostock,South East Coast (NSW),151.44,-32.336,Lostock is located in  New South Wales  and in the  South-East Coast  drainage division. Lostock was proposed during the drought of 1964-66 as a water conservation storage and to further develop rural productivity.,210102,Lostock,Hunter,,,,20225.014,489.445,19735.569,155.583,137.86,,New South Wales
w00077-210117,Glennies Creek,South East Coast (NSW),151.283,-32.344,"Lake St Clair, also known as Glennies Creek Dam, is located in  New South Wales  and in theSouth-East Coast  drainage division. The dam is named after James Glennie, a former Royal Navy captain who was granted creek frontage land near the junction of the Hunter River and Glennies Creek in 1824.",210117,Glennies Creek,Hunter,,,,283375,1072,282303,186,142,,New South Wales
w00077-219027,Brogo,South East Coast (NSW),149.728,-36.486,"Brogo is located in  New South Wales  and in the South-East Coast  drainage division. During droughts, releases from the Brogo Dam also assist in recharging groundwater that supplies the towns of Bega and Tathra.",219027,Brogo,Sydney South Coast,,,,8980.036,194.06,8785.976,102.6,83.46,,New South Wales
w00077-401027,Hume,Murray Darling Basin,147.082,-36.055,"Hume is located on the River Murray, which borders  New South Wales  and  Victoria  in the Murray-Darling  drainage division. When Hume Dam was finished in 1936, it was the biggest dam in the Southern Hemisphere and among the largest in the world. A three month seasonal streamflow forecast  is available for the inflows to Hume.",401027,Hume,NSW Murray (SS14),,,,3038181.669,1789.043,3036392.626,192,157.635,,"New South Wales .5
Victoria .5"
w00077-410102,Blowering,Murray Darling Basin,148.257,-35.504,Blowering is located in  New South Wales  and in the  Murray-Darling  drainage division. The World water speed record was set by Ken Warby on Lake Blowering in 1978.,410102,Blowering,Murrumbidgee (SS15),,,,1633851.68,23992.319,1609859.361,379.27,304.945,,New South Wales
w00077-41010904,Berembed Weir,Murray Darling Basin,146.835,-34.879,Berembed Weir is located in  New South Wales and in the  Murray-Darling  drainage division.,41010904,Berembed Weir,Murrumbidgee (SS15),,,,3415.046,120,3295.046,153.117,148.785,,New South Wales
w00077-41010922,Gogeldrie Weir,Murray Darling Basin,146.256,-34.615,Gogeldrie Weir is located in  New South Wales and in the  Murray-Darling  drainage division.,41010922,Gogeldrie Weir,Murrumbidgee (SS15),,,,7391.146,200,7191.146,132.598,127.402,,New South Wales
w00077-41010928,Hay Weir,Murray Darling Basin,144.712,-34.524,Hay Weir is located in  New South Wales  and in the  Murray-Darling  drainage division.,41010928,Hay Weir,Murrumbidgee (SS15),,,,14300,1000,13300,85.7,80.2,,New South Wales
w00077-41010941,Maude Weir,Murray Darling Basin,144.304,-34.476,Maude Weir is located in  New South Wales  and in the  Murray-Darling  drainage division.,41010941,Maude Weir,Murrumbidgee (SS15),,,,4920,300,4620,76.41,71.91,,New South Wales
w00077-41010971,Tombullen,Murray Darling Basin,146.152,-34.648,Tombullen is located in  New South Wales  and in the  Murray-Darling  drainage division.,41010971,Tombullen,Murrumbidgee (SS15),,,,11230,372,10858,130.4,126.5,,New South Wales
w00077-410131,Burrinjuck,Murray Darling Basin,148.689,-34.968,Burrinjuck is located in  New South Wales  and in the  Murray-Darling  drainage division. Burrinjuck Dam was the first major dam built for irrigation in NSW. The name Burrinjuck comes from the Aboriginal words ''Booren Yiack'' meaning ''Precipitous Mountain''.,410131,Burrinjuck,Murrumbidgee (SS15),,,,1026327,3290.652,1023036.348,361.668,312.29,,New South Wales
w00077-412010,Wyangala,Murray Darling Basin,149.026,-33.934,"Wyangala is located in  New South Wales  and in the  Murray-Darling  drainage division. Wyangala is the main headwater storage in the Lachlan Valley. It was enlarged in 1971 with the installation of eight large radial gates, increasing the storage capacity by almost four times.",412010,Wyangala,Lachlan (SS16),,,,1217760.848,725.44,1217035.408,378.854,313.322,,New South Wales
w00077-412106,Carcoar,Murray Darling Basin,149.208,-33.6,Carcoar is located in  New South Wales  and in the  Murray-Darling  drainage division. Carcoar Dam is a unique concrete arch dam that curves from side to side and from top to bottom.,412106,Carcoar,Lachlan (SS16),,,,36130.996,214.384,35916.612,847.181,817.2,,New South Wales
w00077-412107,Lake Cargelligo,Murray Darling Basin,146.404,-33.282,"Lake Cargelligo is located in  New South Wales and in the  Murray-Darling  drainage division. Lake Cargelligo is actually three separate water bodies: Curlew Water, Sheet of Water and Cargelligo.",412107,Lake Cargelligo,Lachlan (SS16),,,,36533.037,6370.044,30162.993,157.146,154.41,,New South Wales
w00077-412108,Lake Brewster,Murray Darling Basin,145.968,-33.476,Lake Brewster is located in  New South Wales and in the  Murray-Darling  drainage division. Lake Brewster was formed by the construction of embankments on a naturally occurring depression.,412108,Lake Brewster,Lachlan (SS16),,,,153620.214,4560.857,149059.357,139.403,136.14,,New South Wales
w00077-416030,Pindari,Murray Darling Basin,151.27,-29.383,Pindari Lake is located in  New South Wales  and in the  Murray-Darling  drainage division. Pindari Dam was enlarged in 1995 doubling its height and increasing the capacity of Pindari Lake by more than eight times.,416030,Pindari,NSW Border Rivers (SS23),,,,312000,80,311920,516,446.471,,New South Wales
w00077-418035,Copeton,Murray Darling Basin,150.983,-29.915,"Copeton is located in  New South Wales  and in the  Murray-Darling  drainage division. During construction, three stages of river diversion were used to minimise the risk of damage by floods.",418035,Copeton,Gwydir (SS22),,,,1361395.262,18487,1342908.262,572.655,503.77,,New South Wales
w00077-418043,Tareelaroi Weir,Murray Darling Basin,150.031,-29.449,Tareelaroi Weir is located in  New South Wales and in the  Murray-Darling  drainage division.,418043,Tareelaroi Weir,Gwydir (SS22),,,,2500.416,0,2500.416,219.241,213.5,,New South Wales
w00077-419041,Keepit,Murray Darling Basin,150.511,-30.834,Keepit is located in  New South Wales  and in the Murray-Darling  drainage division. In the decade after Keepit was commissioned significant growth in the region included population increases of 68% in Wee Waa and 30% in Narrabri and Gunnedah.,419041,Keepit,Namoi (SS21),,,,425512.788,6576.723,418936.065,329.568,304.574,,New South Wales
w00077-419060,Gunidgera Weir,Murray Darling Basin,149.437,-30.2,Gunidgera Weir is located in  New South Wales and in the  Murray-Darling  drainage division.,419060,Gunidgera Weir,Namoi (SS21),,,,1900,150,1750,190.2,186,,New South Wales
w00077-419062,Mollee Weir,Murray Darling Basin,149.694,-30.267,Mollee Weir is located in  New South Wales  and in the  Murray-Darling  drainage division.,419062,Mollee Weir,Namoi (SS21),,,,3250.032,50,3200.032,205.144,200,,New South Wales
w00077-419069,Chaffey,Murray Darling Basin,151.127,-31.354,"Chaffey is located in New South Wales and in the Murray-Darling drainage division. Chaffey Dam features the largest of only two morning glory spillways in Australia. Upgrade works, completed in May 2016, increased the dam   s capacity from 62GL to 100GL.",419069,Chaffey,Namoi (SS21),,,,102868,2358.792,100509,525.1,499.73,,New South Wales
w00077-419080,Split Rock,Murray Darling Basin,150.699,-30.53,Split Rock Reservoir is located in  New South Wales  and in the  Murray-Darling  drainage division. Split Rock's intake tower can take water from various depths to minimise the storage's ecological impact.,419080,Split Rock,Namoi (SS21),,,,397397.223,3156,394241.223,449,408,,New South Wales
w00077-421078,Burrendong,Murray Darling Basin,149.146,-32.674,Lake Burrendong is located in  New South Wales and in the  Murray-Darling  drainage division. Burrendong was proposed immediately after World War II to improve water supply and boost agriculture in the Macquarie Valley. The name Burrendong is an Aboriginal word meaning ''koala''.,421078,Burrendong,Macquarie-Castlereagh (SS20),,,,1190028.689,33774.082,1156254.607,344.733,311.205,,New South Wales
w00077-421148,Windamere,Murray Darling Basin,149.813,-32.781,"Windamere is located in  New South Wales  and in the  Murray-Darling  drainage division. Windamere Dam has a control tower with variable level inlets, which allows quality and temperature control of water released from the storage.",421148,Windamere,Macquarie-Castlereagh (SS20),,,,368120,1131.295,366988.705,552,507.92,,New South Wales
w00077-425020,Lake Wetherell,Murray Darling Basin,142.578,-32.307,"Lake Wetherell is located in  New South Wales and in the  Murray-Darling  drainage division. There are four main lakes in the Menindee Lake system: Lake Menindee, Lake Cawndilla, Lake Pamamaroo and Lake Wetherell. The lakes were originally a series of natural depressions, which filled only during floods.",425020,Lake Wetherell,Lower Darling (SS18),,,,193178,522,192656,61.67,52.52,,New South Wales
w00077-425021,Lake Pamamaroo,Murray Darling Basin,142.458,-32.276,"Lake Pamamaroo is located in  New South Wales and in the  Murray-Darling  drainage division. There are four main lakes in the Menindee Lake system: Lake Menindee, Lake Cawndilla, Lake Pamamaroo and Lake Wetherell. The lakes were originally a series of natural depressions which filled only during floods.",425021,Lake Pamamaroo,Lower Darling (SS18),,,,277725,28930,248795,60.45,56.5,,New South Wales
w00077-425022,Lake Menindee,Murray Darling Basin,142.321,-32.342,"Lake Menindee is located in  New South Wales and in the  Murray-Darling  drainage division. There are four main lakes in the Menindee Lake system: Lake Menindee, Lake Cawndilla, Lake Pamamaroo and Lake Wetherell. The lakes were originally a series of natural depressions which filled only during floods.",425022,Lake Menindee,Lower Darling (SS18),,,,629488,60860,568628,59.84,56,,New South Wales
w00077-425023,Lake Cawndilla,Murray Darling Basin,142.231,-32.471,"Lake Cawndilla is located in  New South Wales and in the  Murray-Darling  drainage division. It is one of the four main Menindee Lakes, originally a series of natural depressions filling only during floods.",425023,Lake Cawndilla,Lower Darling (SS18),,,,631052,86080,544972,59.84,54.5,,New South Wales
w00102-225225A,Lake Glenmaggie,South East Coast (Victoria),146.775,-37.913,"Lake Glenmaggie is located in  Victoria  and in the  South East Coast  drainage division. It supplies irrigation water for the Macalister Irrigation District and is a drinking water supply to Gippsland Water for the towns of Glenmaggie, Coongulla, Maffra and Stratford.",225225A,Lake Glenmaggie,Thomson/Macalister,Macalister River,1891,1.76,177627.567,4860.981,172766.586,77.1,60.267,1926,Victoria
w00102-226230A,Blue Rock Lake,South East Coast (Victoria),146.201,-38.076,"Blue Rock Lake is located in  Victoria  and in the South East Coast  drainage division. Blue Rock Lake is the second largest storage in Gippsland. It supplies cooling water for electricity generating companies in the Latrobe Valley, drinking water to Gippsland Water to supplement Moondara Reservoir and environmental flows for the Latrobe River.",226230A,Blue Rock Lake,Latrobe,Tanjil River,360,0.873,208188.15,669.985,207518.165,140,140,1984,Victoria
w00102-226236A,Lake Narracan,South East Coast (Victoria),146.316,-38.159,Lake Narracan is located in  Victoria  and in the South East Coast  drainage division. Lake Narracan provides cooling water for the power station generators of the Latrobe Valley. The supply is supplemented from the Blue Rock Dam 15km upstream on the Tanjil River.,226236A,Lake Narracan,Latrobe,Latrobe River,1942,0.281,7230,50.03,7179.97,47.7,41.713,1961,Victoria
w00102-230216A,Rosslynne Reservoir,South East Coast (Victoria),144.556,-37.467,Rosslynne Reservoir is located in  Victoria  and in the  South East Coast  drainage division. Rosslynne Reservoir provides supplementary drinking water supply to the townships of Sunbury and Gisborne and irrigation water supply to diverters along the Maribyrnong River.,230216A,Rosslynne Reservoir,Maribyrnong,Jacksons Creek,90,0.198,25368.184,149.978,25218.206,450.9,426.137,1974,Victoria
w00102-231221A,Melton Reservoir,South East Coast (Victoria),144.528,-37.708,"Melton Reservoir is located in  Victoria  and in the  South East Coast  drainage division. Major upgrade works were conducted at Melton between 1988 and 1994 to allow the dam to pass the Probable Maximum Flood (PMF). Melton Reservoir is the smallest storage of a three stage storage system which, together with Pykes Creek and Merrimu storages, supplies water to the Werribbee Irrigation District.",231221A,Melton Reservoir,Werribee,Werribee River,1114,0.23,14341.641,139.981,14201.66,82.56,67.615,1916,Victoria
w00102-231222A,Pykes Creek Reservoir,South East Coast (Victoria),144.298,-37.606,"Pykes Creek Reservoir is located in  Victoria  and in the  South East Coast  drainage division. Pykes Creek Reservoir provides irrigation water for use in the Bacchus Marsh and Werribee Irrigation Districts. The dam constructed in 1911. The Western Freeway construction in 1967 resulted in part of the dam wall being buried under the freeway embankment, which required the outlet conduit to be extended to clear the embankment.",231222A,Pykes Creek Reservoir,Werribee,Pykes Creek,129,0.203,22118.828,1769.911,20348.917,396.57,378.694,1911,Victoria
w00102-231223A,Merrimu Reservoir,South East Coast (Victoria),144.488,-37.625,"Merrimu Reservoir is located in  Victoria  and in the  South East Coast  drainage division. Merrimu Reservoir is primarily used to supply drinking water to Melton and Bacchus Marsh, it is also the largest storage of a three stage storage system which, together with Pykes Creek and Melton storages, supplies water to the Werribbee Irrigation District.",231223A,Merrimu Reservoir,Werribee,Pyrites Creek,85,0.42,32515.509,334.964,32180.545,174.1,147.571,1986,Victoria
w00103-63,Lake Awoonga,North East Coast,151.272,-24.099,Lake Awoonga is located in  Queensland  and in the  North East Coast  drainage division. Lake Awoonga is the main water supply for the Gladstone region. The Lake Awoonga fish hatchery is one of the largest breeders of barramundi fingerlings in Queensland and their mangrove jack breeding program has resulted in Lake Awoonga holding the largest stocks in Australia.,63,Lake Awoonga,Boyne River Basin,Boyne River,2230,6.779,776853.77,115001.22,661852.55,40,24,1950,Queensland
w00110-DAM_MANGRV,Mangrove Creek,South East Coast (NSW),151.119,-33.217,Mangrove Creek is located in  New South Wales and in the  South East Coast  drainage division. Mangrove Creek is the largest of Gosford City and Wyong Shire's water supply storages. It is supplemented by a pipeline from the Wyong River and Ourimbah Creek via the Mardi Dam.,DAM_MANGRV.1,Mangrove Creek,Hunter,Mangrove Creek,101,0.81,189982.945,86.468,189896.477,87.448,26.43,1982,New South Wales
w00110-DAM_MOONEY,Mooney Mooney,South East Coast (NSW),151.253,-33.373,Mooney Mooney is located in  New South Wales and in the  South East Coast  drainage division. Mooney Mooney is the smallest and oldest of Gosford City and Wyong Shire's water supply storages.,DAM_MOONEY.1,Mooney Mooney,Hunter,Mooney Mooney Creek,38,0.059,4600,74.365,4525.635,80.493,64.32,1962,New South Wales
w00114-sg-o10112,Lake Buffalo,Murray Darling Basin,146.657,-36.732,Lake Buffalo is located in  Victoria  and in the Murray-Darling  drainage division.,sp-o10109,Lake Buffalo,Ovens (SS4),Buffalo River,1062,0.34,23340,3790.9,19549.1,264.45,254.81,1965,Victoria
w00114-sg-o10301,Dartmouth,Murray Darling Basin,147.615,-36.624,"Lake Dartmouth is located in  Victoria  and in the Murray-Darling  drainage division. Dartmouth Dam, which impounds Lake Dartmouth, has the highest embankment of any dam in Australia. Water released from the storage helps to reduce salinity downstream. A three month seasonal streamflow forecast  is available for the inflows to Dartmouth.",sp-o10298,Dartmouth,VIC Murray (SS2),Mitta Mitta River,3600,6.3,3856232,71176,3785056,486,365.016,1979,Victoria
w00114-sg-o10457,Greens Lake,Murray Darling Basin,144.834,-36.434,Greens Lake is located in  Victoria  and in the Murray-Darling  Basin drainage division. Greens Lake is a natural basin. Minimal construction was required to convert the basin into a water storage in 1968.,sp-o10454,Greens Lake,Goulburn (SS6),Off-stream,,,32486,4511,27975,102.2,97.65,1968,Victoria
w00114-sg-o10817,Yarrawonga Weir,Murray Darling Basin,146.092,-36.01,"Yarrawonga Weir, also known as Lake Mulwala, is located on the River Murray, on the border of New South Wales  and  Victoria  in the  Murray-Darling  drainage division. Extra releases downstream of Yarrawonga Weir cause water to flow into the Barmah-Millewa Forest, a wetland of international significance.",sp-o10814,Yarrawonga Weir,VIC Murray (SS2),River Murray,,4.39,117548.178,22326,95222.178,124.9,122.06,1939,"New South Wales .5
Victoria .5"
w00114-sg-o11433,Torrumbarry Weir,Murray Darling Basin,144.477,-35.949,Torrumbarry Weir is located in  Victoria  and in the  Murray-Darling  drainage division. The original Torrumbarry Weir was constructed in 1923 and operated until 1992. The new weir was constructed between 1993 and 1996.,sp-o11430,Torrumbarry Weir,NSW Murray (SS14),River Murray,,,36809,15216,21593,86.05,83,1996,"New South Wales .5
Victoria .5"
